month,company,company_code,mine,ministry_owned_company,region,region_code,mark,extraction_fact,extraction_plan,ash_percent_fact,ash_percent_plan
03.2019,ДП Львiввугiлля,32323256,ш.Лiсова,1,Львiвська область,4600000000,Г(Г2),22000.0,17700.0,28.927272727272726,28.700000762939453
03.2019,ДП Львiввугiлля,32323256,ш.Червоноградська,1,Львiвська область,4600000000,ГЖ,20512.0,18300.0,50.40000975039001,50.400001525878906
03.2019,ДП Львiввугiлля,32323256,ш.Степова,1,Львiвська область,4600000000,Г(Г2),26200.0,20000.0,35.76030534351145,36.20000076293945
03.2019,ПАТ ш.Надiя,00178175,ПАТ ш.Надiя,1,Львiвська область,4600000000,ГЖ,10970.0,11000.0,31.911577177786675,32.0
03.2019,ДП Волиньвугiлля,32365965,ш.Бужанська,1,Волинська область,0700000000,ДГ,1050.0,4800.0,56.22857142857143,47.29999923706055
03.2019,ДП Волиньвугiлля,32365965,ш.N 9 Нововолинська,1,Волинська область,0700000000,ДГ,4515.0,4100.0,26.916500553709856,28.799999237060547
02.2019,ДП ш/у Пiвденнодонбаське1,34032208,ДП ш/у Пiвденнодонбаське1,1,Донецька область,1400000000,ДГ,56077.0,30000.0,44.34348117686807,48.0
02.2019,"ДП ""Шахта ім.М.С.Сургая """,40695853,"ДП ""Шахта ім.М.С.Сургая """,1,Донецька область,1400000000,Г(Г2),39350.0,33000.0,31.257712971785473,33.400001525878906
02.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Родинська""",1,Донецька область,1400000000,ГЖП,1150.0,0.0,31.44086956521739,0.0
02.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,ГЖП,1800.0,2000.0,34.37222222222222,34.5
02.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""Капітальна""",1,Донецька область,1400000000,ГЖП,25400.0,40000.0,56.93759842519685,51.900001525878906
02.2019,ДП Мирноградвугілля,32087941,"ВП ""Шахта ""5/6"" ",1,Донецька область,1400000000,Г(Г2),2500.0,3000.0,32.2676,35.099998474121094
02.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Курахiвська""",1,Донецька область,1400000000,ДГ,1400.0,11000.0,48.675714285714285,45.599998474121094
02.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта 1-3 ""Новогродiвська""",1,Донецька область,1400000000,Г(Г2),960.0,4000.0,20.392708333333335,32.099998474121094
02.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Котляревська""",1,Донецька область,1400000000,Г(Г1),730.0,1000.0,25.74109589041096,44.29999923706055
02.2019,ДП Селидiввугiлля,33426253,"ВП ""Шахта ""Україна""",1,Донецька область,1400000000,ДГ,7886.0,9000.0,44.50215571899569,44.900001525878906
02.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Центральна""",1,Донецька область,1400000000,Ж,13200.0,13500.0,37.37265151515152,36.5
02.2019,ДП Торецьквугiлля,33839013,"ВП ""Шахта ""Торецька""",1,Донецька область,1400000000,Ж,6404.0,6000.0,33.0,34.79999923706055
02.2019,ДП Первомайськвугiлля,32320594,ш.Тошкiвська,1,Луганська область,4400000000,ДГ,2500.0,3000.0,22.0,24.0
02.2019,ДП Первомайськвугiлля,32320594,ш.Гiрська,1,Луганська область,4400000000,Г(Г2),5500.0,13000.0,53.10181818181818,44.5
02.2019,ДП Первомайськвугiлля,32320594,ш.Золоте,1,Луганська область,4400000000,Г(Г1),280.0,500.0,26.682142857142857,41.0
02.2019,ДП Первомайськвугiлля,32320594,ш.Карбонiт,1,Луганська область,4400000000,Г(Г2),6090.0,6000.0,22.21871921182266,25.100000381469727
02.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Г.Г.Капустiна,1,Луганська область,4400000000,ДГ,2010.0,2000.0,28.267661691542287,28.299999237060547
02.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Привільняньска,1,Луганська область,4400000000,ДГ,1065.0,1000.0,48.349295774647885,46.20000076293945
02.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.Новодружеська,1,Луганська область,4400000000,ДГ,352.0,300.0,36.26420454545455,32.79999923706055
02.2019,"ПАТ ""Лисичанськвугiлля""",32359108,ш.iм.Д.Ф.Мельникова,1,Луганська область,4400000000,ДГ,18390.0,15000.0,52.754649265905385,46.29999923706055
02.2019,ДП Львiввугiлля,32323256,ш.Великомостiвська,1,Львiвська область,4600000000,Г(Г2),8730.0,16900.0,49.733906071019476,45.0
02.2019,ДП Львiввугiлля,32323256,ш.Межирiчанська,1,Львiвська область,4600000000,Г(Г2),15162.0,12400.0,48.40067273446775,48.400001525878906
02.2019,ДП Львiввугiлля,32323256,ш.Вiдродження,1,Львiвська область,4600000000,Г(Г2),17421.0,14400.0,51.140520061994145,51.29999923706055
